profile	query_sequences	total_nucleotides	input_sha256	trial	warmup	elapsed_seconds	peak_rss_kb	hit_count
curated	1	113952	99189aa9352f0c17fb7969092d77f696f781079233d5f6d20565d46ae98c864d	0	true	34.51	829892	1
curated	1	113952	99189aa9352f0c17fb7969092d77f696f781079233d5f6d20565d46ae98c864d	1	false	21.17	830016	1
curated	1	113952	99189aa9352f0c17fb7969092d77f696f781079233d5f6d20565d46ae98c864d	2	false	20.63	833128	1
curated	1	113952	99189aa9352f0c17fb7969092d77f696f781079233d5f6d20565d46ae98c864d	3	false	20.30	834076	1
curated	10	771608	ddd505c857c598c13ab875041dede5d46a1f522ccc411c76a36f47a95277b56d	0	true	53.38	2731512	2
curated	10	771608	ddd505c857c598c13ab875041dede5d46a1f522ccc411c76a36f47a95277b56d	1	false	50.68	2731936	2
curated	10	771608	ddd505c857c598c13ab875041dede5d46a1f522ccc411c76a36f47a95277b56d	2	false	49.82	2734460	2
curated	10	771608	ddd505c857c598c13ab875041dede5d46a1f522ccc411c76a36f47a95277b56d	3	false	48.35	2731248	2
curated	100	3846999	4a80859884c2e956b357f4e2b4a629e4c4dc83650e234fe6ffc6304856de5bba	0	true	180.08	2857756	4
curated	100	3846999	4a80859884c2e956b357f4e2b4a629e4c4dc83650e234fe6ffc6304856de5bba	1	false	140.65	2857460	4
curated	100	3846999	4a80859884c2e956b357f4e2b4a629e4c4dc83650e234fe6ffc6304856de5bba	2	false	104.18	2855372	4
curated	100	3846999	4a80859884c2e956b357f4e2b4a629e4c4dc83650e234fe6ffc6304856de5bba	3	false	92.22	2845360	4
curated	1000	13254565	d97fb4537897047c6451496779b0af84ae995febcbc5eda8655a13adbbe9e526	0	true	170.88	2799520	10
curated	1000	13254565	d97fb4537897047c6451496779b0af84ae995febcbc5eda8655a13adbbe9e526	1	false	110.91	2797772	10
curated	1000	13254565	d97fb4537897047c6451496779b0af84ae995febcbc5eda8655a13adbbe9e526	2	false	114.69	2944488	10
curated	1000	13254565	d97fb4537897047c6451496779b0af84ae995febcbc5eda8655a13adbbe9e526	3	false	117.02	2799728	10
img	1	113952	99189aa9352f0c17fb7969092d77f696f781079233d5f6d20565d46ae98c864d	0	true	46.84	829936	1
img	1	113952	99189aa9352f0c17fb7969092d77f696f781079233d5f6d20565d46ae98c864d	1	false	29.68	829972	1
img	1	113952	99189aa9352f0c17fb7969092d77f696f781079233d5f6d20565d46ae98c864d	2	false	26.62	829820	1
img	1	113952	99189aa9352f0c17fb7969092d77f696f781079233d5f6d20565d46ae98c864d	3	false	26.75	829852	1
img	10	771608	ddd505c857c598c13ab875041dede5d46a1f522ccc411c76a36f47a95277b56d	0	true	47.93	2731532	2
img	10	771608	ddd505c857c598c13ab875041dede5d46a1f522ccc411c76a36f47a95277b56d	1	false	43.22	2731788	2
img	10	771608	ddd505c857c598c13ab875041dede5d46a1f522ccc411c76a36f47a95277b56d	2	false	40.57	2731680	2
img	10	771608	ddd505c857c598c13ab875041dede5d46a1f522ccc411c76a36f47a95277b56d	3	false	39.59	2731852	2
img	100	3846999	4a80859884c2e956b357f4e2b4a629e4c4dc83650e234fe6ffc6304856de5bba	0	true	178.88	2865240	4
img	100	3846999	4a80859884c2e956b357f4e2b4a629e4c4dc83650e234fe6ffc6304856de5bba	1	false	100.34	2834904	4
img	100	3846999	4a80859884c2e956b357f4e2b4a629e4c4dc83650e234fe6ffc6304856de5bba	2	false	104.67	2888856	4
img	100	3846999	4a80859884c2e956b357f4e2b4a629e4c4dc83650e234fe6ffc6304856de5bba	3	false	101.25	2856240	4
img	1000	13254565	d97fb4537897047c6451496779b0af84ae995febcbc5eda8655a13adbbe9e526	0	true	269.44	2791224	10
img	1000	13254565	d97fb4537897047c6451496779b0af84ae995febcbc5eda8655a13adbbe9e526	1	false	160.23	2914812	10
img	1000	13254565	d97fb4537897047c6451496779b0af84ae995febcbc5eda8655a13adbbe9e526	2	false	128.75	2914780	10
img	1000	13254565	d97fb4537897047c6451496779b0af84ae995febcbc5eda8655a13adbbe9e526	3	false	134.33	2935476	10
